mjd,mag,magerr
51075.438746,20.638,0.028
51875.237409,20.165,0.019
52171.396502,20.775,0.021
52171.469831,20.761,0.03
52173.372762,20.712,0.029
52224.352896,20.548,0.031
52225.318256,20.486,0.023
52234.309407,20.563,0.024
52261.272761,20.443,0.028
52283.140136,20.354,0.023
52287.153259,20.411,0.026
52288.152679,20.385,0.024
52551.425964,20.257,0.023
52552.47195,20.373,0.022
52557.446309,20.416,0.021
52558.458837,20.377,0.021
52578.330446,20.423,0.021
52585.293426,20.43,0.02
52585.347639,20.449,0.023
52908.420878,20.55,0.02
52909.460058,20.524,0.025
52910.430301,20.46,0.024
52912.400317,20.569,0.025
52934.352786,20.62,0.027
52935.357472,20.692,0.029
52936.348711,20.648,0.029
52963.280551,20.743,0.025
53270.412825,20.373,0.028
53272.462707,20.34,0.019
53286.431428,20.415,0.022
53288.389923,20.398,0.027
53294.437593,20.398,0.022
53296.384626,20.382,0.022
53298.43437,20.392,0.025
53302.385591,20.379,0.023
53312.341149,20.331,0.035
53314.342321,20.403,0.039
53319.330118,20.449,0.031
53351.202856,20.529,0.032
53616.446673,20.453,0.028
53622.459904,20.435,0.026
53627.417002,20.438,0.021
53628.407965,20.353,0.025
53634.409374,20.42,0.032
53638.450711,20.381,0.089
53639.454961,20.456,0.039
53640.414748,20.49,0.03
53641.454126,20.461,0.03
53643.457221,20.465,0.03
53646.476156,20.386,0.029
53657.413011,20.376,0.028
53657.459175,20.403,0.031
53663.39756,20.193,0.025
53663.47657,20.361,0.057
53664.411876,20.23,0.083
53665.375532,20.22,0.126
53665.476503,20.428,0.04
53668.387161,20.223,0.055
53668.465119,20.365,0.036
53669.371123,20.25,0.044
53669.474767,20.332,0.029
53670.392012,20.34,0.045
53670.471089,20.367,0.036
53671.455867,20.389,0.036
53673.360001,20.306,0.026
53674.355361,20.385,0.02
53675.356888,20.333,0.028
53676.44481,20.437,0.023
53676.476533,20.28,0.029
53679.416715,20.366,0.061
53680.364585,20.278,0.025
53681.408229,20.283,0.021
53683.423134,20.271,0.025
53684.369727,20.264,0.04
53686.364016,20.297,0.037
53687.311043,20.292,0.053
53693.366475,20.476,0.084
53696.373947,20.256,0.094
53697.365255,20.366,0.032
53699.38731,20.289,0.03
53700.36421,20.291,0.028
53704.349796,20.3,0.022
53705.350882,20.254,0.025
53975.435913,20.637,0.029
53989.445866,20.714,0.039
53994.458914,20.624,0.068
53996.44265,20.572,0.028
53997.469425,20.624,0.029
54000.421304,20.507,0.023
54005.455776,20.545,0.031
54007.47146,20.613,0.033
54009.395239,20.545,0.023
54009.469597,20.517,0.022
54010.396741,20.567,0.024
54011.459746,20.515,0.026
54012.389575,20.653,0.022
54012.472533,20.604,0.051
54019.45469,20.462,0.032
54020.427628,20.452,0.047
54024.477143,20.553,0.06
54025.458729,20.493,0.04
54028.465429,20.629,0.028
54030.420862,20.58,0.028
54035.464871,20.66,0.028
54037.370352,20.543,0.031
54040.384853,20.55,0.023
54041.420381,20.605,0.024
54047.415378,20.604,0.027
54049.411321,20.686,0.099
54053.39118,20.463,0.056
54056.377289,20.519,0.032
54059.371592,20.497,0.033
54062.376458,20.556,0.026
54064.372924,20.553,0.025
54068.357029,20.469,0.027
54346.452456,20.493,0.037
54348.456459,20.318,0.048
54357.414774,20.436,0.035
54358.412256,20.405,0.025
54362.464594,20.478,0.028
54365.445325,20.484,0.021
54376.459697,20.454,0.021
54381.464893,20.385,0.029
54382.444812,20.36,0.026
54385.462612,20.427,0.029
54386.457225,20.427,0.027
54387.463076,20.414,0.028
54388.461481,20.47,0.029
54391.463959,20.441,0.025
54392.459055,20.419,0.034
54402.456263,20.298,0.023
54406.369121,20.403,0.079
54409.373974,20.366,0.025
54412.394906,20.486,0.023
