mjd,mag,magerr
51081.407604,17.855,0.006
52171.381675,17.828,0.005
52171.454999,17.827,0.005
52173.358133,17.82,0.006
52225.303433,17.851,0.006
52234.294585,17.845,0.006
52261.257942,17.828,0.006
52283.125313,17.826,0.006
52287.138437,17.82,0.006
52288.137856,17.811,0.006
52551.411143,17.732,0.007
52552.457131,17.731,0.005
52557.43149,17.722,0.005
52558.444015,17.725,0.005
52578.315625,17.709,0.005
52585.332819,17.712,0.006
52908.406058,17.989,0.006
52909.445238,17.975,0.005
52910.41548,17.983,0.006
52912.385497,17.977,0.006
52934.337963,17.977,0.006
52935.34265,17.953,0.006
52936.333889,17.973,0.006
52963.265729,17.967,0.006
52971.256644,17.959,0.006
53270.39798,18.051,0.006
53272.447888,18.037,0.006
53286.416608,18.066,0.006
53288.3751,18.051,0.015
53294.422772,18.035,0.006
53296.369781,18.022,0.006
53298.41955,18.03,0.006
53302.370769,18.008,0.008
53312.32633,17.983,0.013
53314.327501,17.992,0.006
53319.315297,17.978,0.007
53616.431852,18.039,0.01
53622.445082,18.04,0.006
53626.408281,18.04,0.006
53627.40218,18.042,0.006
53628.393145,18.041,0.006
53634.394553,18.035,0.007
53638.43589,18.044,0.006
53639.440141,18.042,0.007
53640.399926,18.029,0.009
53641.439306,18.04,0.007
53643.4424,18.038,0.006
53646.461332,18.037,0.006
53657.398191,17.999,0.006
53663.382739,18.06,0.006
53664.397055,18.096,0.007
53665.360711,18.021,0.008
53665.461683,18.084,0.009
53666.452823,18.068,0.009
53668.37234,18.043,0.008
53668.450299,18.05,0.008
53669.3563,18.045,0.008
53669.459951,18.065,0.007
53670.377192,18.033,0.007
53670.456272,18.04,0.007
53671.441049,18.087,0.008
53673.34518,18.041,0.006
53674.340537,18.023,0.007
53675.342067,18.021,0.007
53676.429992,18.062,0.006
53677.363097,18.056,0.006
53679.401894,18.038,0.006
53680.349764,18.044,0.007
53681.393409,18.051,0.006
53683.408316,18.001,0.006
53684.354905,18.047,0.006
53686.349196,18.047,0.007
53687.29622,18.056,0.013
53687.40658,18.037,0.013
53693.351654,18.011,0.009
53694.36636,18.069,0.012
53696.359126,18.04,0.018
53697.350434,18.048,0.01
53699.372493,18.047,0.009
53700.34939,18.042,0.007
53704.334976,18.039,0.007
53705.33606,18.026,0.007
53975.421055,17.992,0.006
53989.431052,17.996,0.006
53994.444142,17.984,0.006
53996.427826,18.057,0.011
53997.454701,18.011,0.017
54000.406466,17.992,0.013
54005.441009,18.001,0.019
54007.456748,18.012,0.011
54009.380428,18.015,0.01
54009.454788,18.019,0.016
54011.444902,18.01,0.019
54012.37475,18.02,0.016
54012.457718,17.969,0.012
54019.439865,18.035,0.015
54020.412796,18.01,0.015
54024.462312,18.023,0.018
54025.443892,17.99,0.021
54028.450657,18.024,0.028
54030.406061,18.038,0.015
54035.450055,17.991,0.016
54037.355622,18.025,0.018
54040.37007,18.011,0.017
54041.40567,18.037,0.022
54047.400958,17.942,0.014
54049.396501,17.989,0.018
54050.356675,17.965,0.018
54056.362491,18.025,0.018
54059.356759,17.989,0.016
54061.367834,17.97,0.018
54062.361676,18.015,0.017
54064.358078,17.967,0.016
54068.342265,17.99,0.042
54346.437784,17.966,0.018
54348.441617,18.002,0.016
54357.399956,17.992,0.012
54362.449761,18.016,0.018
54365.430537,17.996,0.013
54376.444982,18.002,0.019
54381.450074,18.004,0.014
54382.43004,17.982,0.014
54384.456831,18.034,0.014
54385.44776,17.991,0.017
54386.442505,17.98,0.012
54387.448274,17.983,0.018
54388.446669,18.005,0.019
54390.440665,18.012,0.017
54391.449129,17.988,0.02
54392.4442,18.008,0.016
54402.441435,18.019,0.013
54403.360473,17.974,0.012
54406.354442,18.002,0.023
54409.359214,18.009,0.021
54412.38003,18.001,0.017
