time,cont,conterr
-2.0,-1.6715927750410686,0.008
-1.1094043588990181,-0.1412151067323577,0.009
-1.1081035758583222,0.049261083743832756,0.01
-1.0412836188955943,-1.034482758620697,0.008
-0.6862784663331665,-1.8555008210180721,0.008
-0.6861905946367413,-2.0,0.008
-0.6839095434029767,-1.8949096880131475,0.009
-0.6227998238544445,-1.7438423645320325,0.008
-0.621642655525735,-1.8752052545156097,0.008
-0.6108649880605614,-1.625615763546806,0.008
-0.578544087711907,-1.8949096880131475,0.008
-0.5523317314768117,-1.6715927750410686,0.009
-0.5475212110030181,-1.8883415435139606,0.008
-0.5463232102531284,-1.8160919540229965,0.008
-0.23073826014511112,0.4105090311986759,0.009
-0.2294844384643422,0.31198686371101036,0.009
-0.22352168709557407,0.29228243021347255,0.01
-0.22230797502157773,0.4105090311986759,0.009
-0.19848793309369506,0.2791461412150986,0.009
-0.19014142731437134,0.35139573070606245,0.009
-0.1900764411447482,0.38423645320197464,0.009
0.1971905423660525,0.3251231527093612,0.009
0.1995992320756237,0.2594417077175608,0.01
0.20196068352620955,0.15435139573070833,0.01
0.2282750440976402,0.17405582922824614,0.009
0.2294793619817299,0.39080459770113807,0.01
0.230667556189887,0.48275862068966324,0.009
0.26295067719910703,0.48275862068966324,0.009
0.2725293645787845,0.7586206896551686,0.011
0.6311092994800891,1.1789819376026247,0.018
0.6335664633054425,0.7389162561576308,0.01
0.6503107275599729,0.72577996715928,0.011
0.6526583664228118,0.7980295566502438,0.01
0.6599076950718388,0.5484400656814401,0.011
0.6622415908713566,0.5812807881773288,0.02
0.664698619243925,1.1198686371100117,0.01
0.6694349367653896,0.9162561576354702,0.014
0.6813687656536298,1.0476190476190474,0.021
0.6837674366520545,1.5270935960591174,0.012
0.6897462949150062,1.257799671592776,0.011
0.7279520540901294,0.8111658456485946,0.01
1.0458990741764844,1.7635467980295703,0.011
1.0531071172967956,1.3694581280788154,0.01
1.059049176754626,1.3825944170771662,0.01
1.0602370413210482,1.257799671592776,0.014
1.0674309146418413,1.2709359605911263,0.022
1.0722752551582437,1.4548440065681532,0.012
1.073479045615573,1.5008210180623927,0.012
1.0746295383996136,1.3957307060755402,0.012
1.0758754390893364,1.02791461412151,0.012
1.0782765302574018,1.3497536945812776,0.011
1.0818953299558975,1.4285714285714284,0.011
1.0948637292187429,1.2183908045977003,0.034
1.0950053109402909,2.0,0.021
1.1021789718290202,1.5467980295566552,0.02
1.102273685689028,1.2972085385878516,0.024
1.103394830769692,1.2709359605911263,0.017
1.104549960114475,1.671592775041045,0.024
1.104670999762233,1.789819376026272,0.018
1.1058590729019677,1.7175697865353077,0.016
1.10815999134301,1.4811165845648548,0.014
1.1082534441735707,1.8686371100164227,0.016
1.1093394638303864,1.5270935960591174,0.013
1.1094637075957445,1.5467980295566552,0.016
1.110563201807706,1.5205254515599305,0.013
1.1106579995765196,1.6650246305418817,0.014
1.1118384466047124,1.5008210180623927,0.013
1.1141209206920473,1.4942528735632288,0.01
1.1153140547313343,1.5205254515599305,0.011
1.116514583533605,1.3760262725780024,0.01
1.1178186773759524,1.3891625615763532,0.011
1.1213810891597964,1.4417077175697792,0.012
1.1225172970693844,1.0147783251231592,0.01
1.1237683114013368,1.63218390804597,0.011
1.1261835735676091,1.4876847290640418,0.023
1.1273182495421894,0.870279146141208,0.019
1.129708798168441,1.4548440065681532,0.022
1.130843996775,0.5681444991789779,0.032
1.138102626115547,1.3300492610837398,0.023
1.1417076755585533,1.4548440065681532,0.014
1.14289595247681,1.3957307060755402,0.013
1.1453197865267155,1.0673234811165853,0.013
1.1464907926158214,1.5139573070607666,0.011
1.1512683021676238,1.100164203612474,0.011
1.1524683011457304,1.4811165845648548,0.012
1.4762185104214027,-0.3842364532019744,0.023
1.4930121705898638,-0.12151067323482012,0.017
1.499021373872254,-0.4893267651888269,0.025
1.5013992103147702,-0.27257799671593497,0.044
1.5026299570745776,-0.39737274220032526,0.028
1.5061684164911147,-0.16748768472905917,0.016
1.5122031927794248,-0.5878489326765157,0.024
1.5146193647568693,-0.41707717569786285,0.031
1.5169254268075636,-0.17405582922824614,0.021
1.517014576315193,-0.5353037766830895,0.016
1.5181259256424031,-0.6206896551724275,0.019
1.5194000508562273,-0.25287356321839716,0.021
