time,cont,conterr
-2.0,-0.07624633431088079,0.016
-1.9123681173188407,-0.7683284457477995,0.012
-1.4556824205334733,0.5571847507331293,0.012
-1.4555693960416456,-0.17008797653960928,0.012
-1.4526349828688914,-0.5219941348973511,0.012
-1.3740220632694777,0.6510263929618576,0.012
-1.372533572840207,0.5806451612903012,0.012
-1.3586689637781304,1.7771260997067233,0.012
-1.3170907110757173,0.9560117302052977,0.013
-1.2833706073715658,0.21700879765395253,0.012
-1.2771822604669083,0.15835777126096096,0.014
-1.2756411282822655,-0.06451612903227422,0.012
-0.8696663209667113,0.3577712609970658,0.012
-0.8680533780753439,0.826979472140791,0.013
-0.8603827782450946,0.9912023460410344,0.012
-0.858821434698108,0.6627565982404646,0.012
-0.8281788551688645,0.4868035190615725,0.012
-0.8174417427864045,0.7565982404691929,0.012
-0.817358143274836,0.9794721407624696,0.012
-0.3191701294189495,-0.26392961876833754,0.012
-0.317567686196933,-0.6041055718475143,0.012
-0.3160715442242281,-0.6158357771261211,0.011
-0.313033722646898,-0.42815249266862265,0.012
-0.2791824016033493,-0.7214076246334145,0.012
-0.2776331460146588,-0.7800586510264063,0.011
-0.27610462761989374,-0.6979472140762428,0.012
-0.23457497347517808,-0.20527859237538748,0.011
0.2390316212781709,0.9090909090909127,0.012
0.2421926030980588,0.4985337243401795,0.018
0.26373276190058803,0.3577712609970658,0.012
0.2667528146880862,0.5102639296187443,0.014
0.27607849178558075,1.0498533724340264,0.012
0.2790808945194172,0.7565982404691929,0.019
0.28224163424088955,0.8269794721407493,0.023
0.2883345296059723,0.8621700879765277,0.012
0.3036862859908358,1.1554252199413195,0.017
0.3067721432856061,1.2961876832844332,0.02
0.3144634648894944,2.0,0.015
0.36361212106209617,-0.04105571847506084,0.015
0.7726255440994643,-0.4985337243401793,0.013
0.7818981137490879,-0.7683284457477995,0.012
0.7895420966322395,-0.5806451612903427,0.011
0.7910701925113068,-0.15835777126100248,0.013
0.8003245323046966,-0.5102639296187861,0.016
0.8065563859902483,-0.3929618768328442,0.026
0.8081049723387399,-0.43988269794722945,0.014
0.8095849862395204,-1.2023460410557045,0.013
0.811187740951218,-0.7565982404691929,0.013
0.8142765681921103,-0.6158357771260794,0.013
0.8189318461770672,-1.1085043988269763,0.013
0.835796788571272,-0.4633431085044011,0.012
0.845025129770852,-1.0615835777125913,0.021
0.845146966953298,-1.0263929618768546,0.023
0.846589233548146,-1.1554252199413613,0.028
0.8480752197237713,-0.5571847507331293,0.02
0.8482309183013275,-0.8973607038123061,0.02
0.8497592840353034,-0.7448680351906278,0.02
0.8527192347354662,-0.9325513196480846,0.017
0.8528394497043372,-0.7448680351906278,0.015
0.8542365287076619,-0.9794721407624696,0.019
0.8558107744037895,-0.580645161290301,0.015
0.8559327149021088,-1.343108504398818,0.015
0.8574512687112765,-0.8621700879765279,0.015
0.8603874937670368,-1.0498533724340264,0.014
0.861922363775554,-1.3665689149560314,0.011
0.8634667496394961,-0.8973607038123061,0.012
0.8651443574793634,-1.343108504398818,0.012
0.8697271169667036,-0.956011730205298,0.012
0.8711887606866897,-0.8152492668621429,0.013
0.8727980875221544,-1.2023460410557463,0.011
0.8773648006650534,-0.9442815249266912,0.013
0.8804400534325487,-1.014662756598248,0.023
0.8819003895127095,-2.0,0.023
0.8820705661921342,-0.2873900293255509,0.031
0.8912380404584272,-0.8739002932551345,0.043
0.8928027471687119,-0.8387096774193561,0.026
0.8958756452592933,-0.8152492668621845,0.023
0.8974042715960282,-0.8621700879765279,0.015
0.9005223387738122,-1.0498533724340264,0.015
0.9020287429435383,-1.4721407624633664,0.014
0.9081746301043787,-1.0615835777125913,0.012
0.9097183297658185,-1.190615835777098,0.013
1.3261970331335289,-1.3079178885630398,0.013
1.3478009702184015,-0.7448680351906278,0.027
1.3555309982697015,-1.4838709677419315,0.021
1.3585900088551983,-1.82404692082115,0.016
