time,cont,conterr
-2.0,-0.005602240896345423,0.016
-1.9123681173188407,-0.5770308123249397,0.012
-1.4556824205334733,0.6890756302520886,0.012
-1.4555693960416456,-0.005602240896385391,0.012
-1.4526349828688914,-0.3417366946778715,0.012
-1.3740220632694777,0.7787114845938157,0.012
-1.372533572840207,0.7114845938375103,0.012
-1.3586689637781304,1.8543417366946588,0.012
-1.3170907110757173,1.0476190476190363,0.013
-1.2833706073715658,0.36414565826329337,0.012
-1.2771822604669083,0.2633053221288355,0.014
-1.2756411282822655,0.0952380952380727,0.012
-0.8696663209667113,0.4985994397759037,0.012
-0.8680533780753439,0.9243697478991568,0.013
-0.8603827782450946,1.1036414565826105,0.012
-0.858821434698108,0.789915966386546,0.012
-0.8281788551688645,0.6218487394957832,0.012
-0.8174417427864045,0.8795518207282731,0.012
-0.817358143274836,1.0924369747899196,0.012
-0.3191701294189495,-0.09523809523811222,0.012
-0.317567686196933,-0.42016806722690747,0.012
-0.3160715442242281,-0.40896358543417666,0.011
-0.313033722646898,-0.25210084033614444,0.012
-0.2791824016033493,-0.5322128851540562,0.012
-0.2776331460146588,-0.5658263305322089,0.011
-0.27610462761989374,-0.5098039215686345,0.012
-0.23457497347517808,-0.016806722689076237,0.011
0.2390316212781709,1.0252100840336142,0.012
0.2421926030980588,0.4985994397759037,0.018
0.26373276190058803,0.4985994397759037,0.012
0.2667528146880862,0.5994397759103616,0.014
0.27607849178558075,1.159663865546225,0.012
0.2790808945194172,0.7226890756302811,0.019
0.28224163424088955,0.7002801120448194,0.023
0.2883345296059723,0.980392156862731,0.012
0.3036862859908358,1.1484593837534942,0.017
0.3067721432856061,1.2156862745097992,0.02
0.3144634648894944,2.0,0.015
0.36361212106209617,0.05042016806722893,0.015
0.7726255440994643,-0.34173669467791123,0.013
0.7818981137490879,-0.5770308123249397,0.012
0.7895420966322395,-0.3753501400560242,0.011
0.7910701925113068,-0.016806722689116205,0.013
0.8003245323046966,-0.4201680672268677,0.016
0.8065563859902483,-0.5322128851540562,0.026
0.8081049723387399,-0.3081232492997188,0.014
0.8095849862395204,-1.0140056022409234,0.013
0.811187740951218,-0.5882352941176705,0.013
0.8142765681921103,-0.45378151260506017,0.013
0.8189318461770672,-0.9243697478991966,0.013
0.835796788571272,-0.28571428571429713,0.012
0.845025129770852,-1.0588235294117672,0.021
0.845146966953298,-1.070028011204498,0.023
0.846589233548146,-1.3053221288515262,0.028
0.8480752197237713,-0.5546218487394781,0.02
0.8482309183013275,-0.8795518207282733,0.02
0.8497592840353034,-0.7338935574229719,0.02
0.8527192347354662,-0.8459383753501206,0.017
0.8528394497043372,-0.621848739495823,0.015
0.8542365287076619,-0.9355742296918477,0.019
0.8558107744037895,-0.464985994397751,0.015
0.8559327149021088,-1.1932773109243775,0.015
0.8574512687112765,-0.7338935574229719,0.015
0.8603874937670368,-0.8907563025210041,0.014
0.861922363775554,-1.126050420168072,0.011
0.8634667496394961,-0.7002801120448192,0.012
0.8651443574793634,-1.126050420168072,0.012
0.8697271169667036,-0.7563025210084335,0.012
0.8711887606866897,-0.6442577030812449,0.013
0.8727980875221544,-0.9691876750700401,0.011
0.8773648006650534,-0.7675070028011644,0.013
0.8804400534325487,-1.0588235294117672,0.023
0.8819003895127095,-2.0,0.023
0.8820705661921342,-0.543417366946787,0.031
0.8912380404584272,-1.3725490196078314,0.043
0.8928027471687119,-0.9579831932773093,0.026
0.8958756452592933,-0.8683473389355822,0.023
0.8974042715960282,-0.7338935574229719,0.015
0.9005223387738122,-0.9131652661064658,0.015
0.9020287429435383,-1.2941176470588354,0.014
0.9081746301043787,-0.8571428571428514,0.012
0.9097183297658185,-1.0028011204481926,0.013
1.3261970331335289,-1.1148459383753813,0.013
1.3478009702184015,-0.8907563025210439,0.027
1.3555309982697015,-1.4621848739495982,0.021
1.3585900088551983,-1.6750700280112047,0.016
1.3601733771895863,-1.5294117647058636,0.022
1.364725158874358,-1.4509803921568674,0.019
1.3724885363674328,-1.0812324929971888,0.023
1.3755966744262662,-1.2044817927170683,0.016
1.378563200334253,-0.9803921568627709,0.015
1.3786779534395972,-1.137254901960803,0.015
1.3801076679256785,-1.2717086834733737,0.017
1.3817467990803207,-1.2717086834733737,0.02
1.3831806677901266,-1.2044817927171083,0.021
1.383308474163361,-1.1596638655462248,0.021
1.3940752258679803,-1.0588235294117672,0.023
1.3955755606151028,-1.1820728291316467,0.02
1.4018200265485037,-1.6862745098039356,0.029
1.4033337214271118,-1.2492997198879519,0.018
1.4079700555968286,-1.7422969187675101,0.035
1.410985382068184,-1.3837535014005622,0.028
1.418763430416638,-1.0252100840336145,0.018
1.4217016971176135,-1.4285714285714057,0.022
1.4263501500861873,-1.663865546218474,0.019
1.42794693252304,-1.2941176470588354,0.017
1.440269129517164,-1.7310924369747793,0.02
1.4417498126581427,-1.0028011204481528,0.022
1.4510109342911255,-1.8543417366946986,0.032
1.4556281889471272,-1.2605042016806827,0.021
1.4587293369925596,-1.1036414565826105,0.019
1.4602617983531836,-1.148459383753494,0.028
1.463340408115862,-1.316526610644257,0.023
1.469484031579444,-1.0924369747899196,0.024
1.8983150662544697,-1.3837535014005622,0.017
1.9014051579584081,-1.8767507002801205,0.022
1.9152191669103162,-1.7086834733893574,0.016
1.9167573522792556,-1.9327731092436948,0.02
1.9230061497696052,-1.7759103641456626,0.025
1.9276025546636149,-1.8431372549019678,0.017
1.9445869703111804,-1.4285714285714457,0.029
1.9523051339982564,-1.9551820728291167,0.022
1.9538161550001378,-1.6414565826330523,0.022
1.9584697028295608,-1.3613445378151403,0.03
1.9600035011285426,-1.22689075630253,0.02
1.9615545500959182,-1.5742296918767469,0.02
1.9630941957654717,-1.1820728291316467,0.016
1.966168881066635,-1.8991596638655421,0.023
1.967723894588259,-1.6974789915966266,0.022
1.9692586350664163,-1.148459383753494,0.02
1.9846744565508465,-1.4509803921568674,0.027
1.9877226390150078,-1.0588235294117672,0.03
1.9907081950918153,-1.9327731092436948,0.034
1.995341776741368,-1.6190476190475906,0.019
2.0,-1.1932773109243775,0.022
