#Table1
specobjid,ra,dec,plate,mjd,fiberid,z,h_beta_flux
2375769807883626496,202.08597,31.257021,2110,53467,440,0.2396989,128.4532
2382574966718621696,209.71864,29.903667,2116,53854,621,0.1132909,218.7301
2237208258039277568,192.40251,33.508387,1987,53765,164,0.1630809,287.6584
560727049073879040,213.0568,64.59414,498,51984,105,0.2883833,782.2548
339034717884016640,209.78337,0.45889862,301,51942,505,0.2567531,209.2478
962713179673094144,207.40871,3.5955258,855,52375,250,0.2024562,112.2265
596885039413749760,208.02586,3.173636,530,52026,575,0.2426316,219.4765
1311739407518164992,226.84196,51.331027,1165,52703,240,0.2706152,51.12079
1312854862869850112,231.14193,49.18949,1166,52751,202,0.139522,170.3694
1310613232246876160,224.04492,52.878313,1164,52674,239,0.2096944,210.3706
1521226060883060736,224.03596,38.010716,1351,52790,492,0.2834726,213.1042
1886021490332166144,222.5214,46.589253,1675,53466,506,0.2923579,1007.271
331096794425485312,195.60807,-1.0864508,294,51986,299,0.2346111,66.01272
592349008991643648,200.20163,3.044586,526,52312,457,0.2969392,478.4542
592336089730017280,199.97147,3.5600085,526,52312,410,0.2089116,60.35434
592370999224199168,200.43736,3.5154783,526,52312,537,0.2688896,1217.897
343550681497495552,216.70325,0.88983017,305,51613,550,0.2195398,349.2582
1080922775125780480,203.64739,57.837689,960,52425,214,0.1238792,1209.838
2014287231597963264,190.92405,9.2853199,1789,54259,190,0.1923565,1144.884
1572934448989628416,221.69141,40.584933,1397,53119,190,0.2679094,2752.637
1645038221559621632,197.82724,46.583963,1461,53062,358,0.2715686,97.5112
1574140613698283520,225.31025,39.657718,1398,53146,482,0.2308415,598.3192
2022194088299751424,196.57738,8.8781835,1796,53884,283,0.1716289,689.6315
2031188918082234368,205.86365,8.3761477,1804,53886,238,0.2424477,157.8835
2061660519714023424,225.51709,6.7544588,1831,54557,501,0.2876647,2066.256
2022170998555568128,196.87508,9.3681053,1796,53884,199,0.2568817,231.5889
2039008913734526976,216.34326,8.0575316,1811,53533,15,0.2299342,494.93
2042416867171133440,223.20543,7.4102721,1814,54555,125,0.1622115,1256.502
2386924084928735232,210.71333,26.521553,2120,53852,59,0.187615,854.1714
2399296888722450432,217.37638,25.091518,2131,53819,15,0.1453624,420.1388
2261952219798595584,198.30056,28.791672,2009,53904,70,0.2588019,171.1441
3122296439586187264,216.55551,19.923534,2773,54533,640,0.2134592,1652.594
3123364615149348864,216.85438,19.831181,2774,54534,430,0.1098744,1842.363
3125634282362529792,220.83801,19.064471,2776,54554,495,0.2991473,89.68754
684565045337679872,222.96478,59.233301,608,52081,65,0.2973105,283.6123
2059339432833607680,220.67,5.4064643,1829,53494,249,0.1170313,1324.26
2064994239053326336,228.72196,5.6102368,1834,54562,341,0.1740427,102.6267
2059398531583600640,221.06111,6.5518765,1829,53494,464,0.2076814,1192.412
996544877648963584,189.81417,53.2374,885,52379,449,0.2016241,86.80108
2075188898350262272,224.149,31.884164,1843,53816,565,0.2178915,369.7131
2072813672903763968,218.59573,32.67818,1841,53491,116,0.2458225,52.6361
2077296117887821824,229.36864,28.937835,1845,54144,39,0.2079677,341.3671
2078528396031191040,229.90061,28.641012,1846,54173,426,0.2689301,1164.139
2076282093188442112,225.49625,30.883521,1844,54138,446,0.1936767,206.9606
1918640422083651584,210.87303,13.845909,1704,53178,389,0.1992838,243.5901
1997511974304376832,202.81516,14.980478,1774,53759,602,0.231364,266.3202
1999766524558075904,206.77046,14.693794,1776,53858,612,0.1341881,1311.827
2237185718050908160,192.93209,32.692657,1987,53765,82,0.2738303,388.1747
2943198638932781056,189.93734,19.90709,2614,54481,350,0.2393598,370.0913
2943179122601388032,190.59734,19.78914,2614,54481,279,0.1602625,778.7159
952675188804184064,190.8493,5.2462198,846,52407,596,0.1647449,703.1163
2015420546782619648,190.94145,6.5752588,1790,53876,217,0.2401559,37.66515
1926534646682642432,219.6385,10.33574,1711,53535,436,0.2304113,400.3225
1885899444541483008,222.3658,45.756116,1675,53466,62,0.2880693,110.4995
2258725145990424576,196.78653,34.406074,2006,53476,618,0.1863378,1308.8
2524429289026250752,197.0841,27.717609,2242,54153,588,0.237003,126.2934
2524392455386720256,196.2596,28.10028,2242,54153,454,0.2761594,79.36034
678989146575890432,200.64275,63.235682,603,52056,260,0.2183968,190.2026
680068317624428544,206.5731,62.345968,604,52079,90,0.1161843,522.8646
682375097817786368,211.61368,61.480549,606,52365,290,0.1808696,194.0835
681202468465436672,211.24033,61.891219,605,52353,120,0.2690632,471.6942
1483991374335338496,194.78482,56.258539,1318,52781,201,0.1605687,281.1324
1483947668748134400,196.09103,56.138082,1318,52781,42,0.2985226,473.7039
2017646789561182208,193.46283,6.6476265,1792,54270,124,0.256806,144.2618
2023280416240199680,199.2771,6.489917,1797,54507,139,0.1993042,205.9592
2272212860564170752,196.16958,38.601465,2018,53800,534,0.2129434,203.2156
2365652108444723200,205.27304,37.247711,2101,53858,496,0.2419932,215.9268
2275607322384427008,196.23714,39.853174,2021,53475,595,0.270842,998.0123
2257440366586259456,205.6301,38.484279,2005,53472,40,0.171704,772.0214
2982568022641764352,193.40715,21.438391,2649,54212,215,0.1266571,2140.768
1858963333403666432,230.82791,30.807213,1651,53442,373,0.2409074,479.9867
2235029295267342336,191.08318,40.860233,1985,53431,429,0.2493404,67.56476
2257550592626944000,204.10027,39.291969,2005,53472,441,0.1790504,468.7558
1848852493866395648,210.78665,37.974313,1642,53115,454,0.1844595,907.2689
1852275274519963648,219.62598,35.654482,1645,53172,618,0.2620519,81.72304
3118861839753046016,208.95919,20.770705,2770,54510,433,0.1965366,4131.215
3119888234142787584,212.59207,20.248843,2771,54527,71,0.2015326,351.5498
3130077408900704256,227.50128,17.132663,2780,54557,275,0.2431923,215.1753
331067932245256192,196.80522,-0.60045749,294,51986,194,0.1701931,1226.009
587727481910355968,193.19358,2.1884156,522,52024,28,0.239459,141.4467
590016940047624192,196.07083,2.0936499,524,52027,165,0.2284263,764.2011
593358361169258496,203.22197,2.0126902,527,52342,33,0.2158184,90.17809
1078726225519732736,196.96941,60.430174,958,52410,415,0.2549202,205.4912
1078756462089496576,197.98421,60.339477,958,52410,525,0.2826634,170.9032
1078778727199959040,199.45968,60.178058,958,52410,606,0.1371693,333.0728
957083129762310144,197.07876,3.7436684,850,52338,248,0.2273587,1162.181
962713454551001088,207.36907,3.9848633,855,52375,251,0.2534572,55.67508
957079281471612928,197.15658,4.5437667,850,52338,234,0.2957134,245.6323
963773108278290432,210.40265,4.2742307,856,52339,10,0.1642211,1758.235
1449114589735184384,214.25341,44.935101,1287,52728,296,0.1137073,1965.385
2034578717279283200,209.23984,8.0524216,1807,54175,282,0.2788069,360.7906
2432010659290966016,230.40128,24.481601,2160,53885,243,0.165382,1675.655
2381351204924975104,207.093,24.947267,2115,53535,265,0.2934271,183.9163
3088501845597906944,209.30256,17.078929,2743,54259,576,0.1502831,531.9232
2973579790264592384,202.47864,18.344938,2641,54230,284,0.1882003,153.3029
2973575667095988224,202.55188,18.435266,2641,54230,269,0.2595482,143.6215
3105235867246028800,213.67513,16.968668,2758,54523,14,0.2375693,285.3593
336680658942322688,205.30807,-0.88755139,299,51671,133,0.2374521,1711.321
1027982939650025472,206.66683,-3.0036664,913,52433,132,0.2230707,313.4665
595654685885491200,205.56739,1.9218459,529,52025,195,0.2727271,110.332
336803529366726656,205.96999,1.0026725,299,51671,580,0.2550515,72.71386
337826629499774976,207.11191,-0.99552881,300,51943,206,0.2341849,114.511
888474428889917440,216.10092,59.883499,789,52342,507,0.1347965,892.6796
1173224032531671040,204.8708,52.456516,1042,52725,132,0.2690201,621.0911
1177738073073543168,217.66379,49.594165,1046,52460,170,0.2034624,711.2766
1178914829973350400,218.79294,49.805383,1047,52733,355,0.1660594,237.4101
1883660289044408320,217.42947,47.790612,1673,53462,108,0.2206272,2303.882
1883794979218810880,217.89715,48.222879,1673,53462,598,0.2454427,188.0252
3090676404249978880,211.74462,14.710663,2745,54231,295,0.265141,944.1344
3096248454486190080,223.3397,12.940749,2750,54242,86,0.2584745,298.6597
2411852768282175488,222.78651,27.157478,2142,54208,637,0.06449452,6220.282
2415183738825631744,223.38114,26.829669,2145,54212,467,0.2789952,202.7542
2278886616284030976,206.64573,31.359387,2024,53503,237,0.2464555,299.1662
2278883317749147648,206.69363,31.26575,2024,53503,225,0.2318997,39.36084
2406169392644646912,219.44949,28.505415,2137,54206,441,0.2496374,322.4945
2223701856683583488,191.34577,31.872095,1975,53734,180,0.2404729,51.91676
3104233112406616064,210.33386,18.48414,2757,54509,462,0.2308016,101.603
690218463678982144,230.47421,59.672237,613,52345,152,0.2860429,399.4718
557377386966968320,192.75191,66.05744,495,51988,207,0.2817113,1639.537
1303890818053990400,206.56623,58.002256,1158,52668,359,0.1626487,261.0046
1304935903872968704,212.30981,56.940472,1159,52669,65,0.2383302,261.4418
1306090940921833472,214.25117,56.433031,1160,52674,171,0.1492429,1043.19
1308334494297647104,219.31303,54.878852,1162,52668,141,0.2520696,403.3725
1490730561130489856,212.10319,54.638267,1324,53088,142,0.2908029,322.3501
1856666173819611136,228.99066,30.399208,1649,53149,208,0.2517488,520.8255
