#Table1
specobjid,ra,dec,plate,mjd,fiberid,z,h_beta_flux
1484106548178348032,196.35413,57.899204,1318,52781,620,0.2779047,89.90127
1489687394591467520,208.81895,56.212429,1323,52797,443,0.1215033,2143.585
1638203107978536960,192.41,46.790302,1455,53089,68,0.1499933,835.6785
2043551277035579392,225.72551,7.6988269,1815,53884,156,0.2695875,295.1519
2041386064081348608,220.15972,8.676428,1813,53903,471,0.2568896,173.0147
2391436479273396224,212.11594,24.156859,2124,53770,91,0.1303311,1565.531
2528789395910191104,205.98645,25.646581,2246,53767,66,0.0863796,2033.969
2381431194395895808,207.72106,25.391704,2115,53535,556,0.2988524,146.7687
2400461266066892800,216.81286,23.486403,2132,53493,155,0.2327143,647.4112
1909677202253834240,197.35676,12.72747,1696,53116,549,0.2204827,475.9464
1914179983723489280,204.96996,12.304644,1700,53502,546,0.2733904,156.1231
2987114778402514944,202.39762,22.269577,2653,54230,372,0.2904827,170.442
2984883873957046272,198.95998,23.074585,2651,54507,448,0.2577475,41.14272
1446914466884118528,209.6676,47.545084,1285,52723,484,0.2016272,55.15951
1446792146215528448,211.26106,47.12987,1285,52723,39,0.1514203,834.8927
1912994979127519232,201.73091,12.782964,1699,53148,331,0.2017202,287.0493
1995115852348811264,197.89859,14.413114,1772,53089,77,0.1139307,3027.972
1994065825606166528,193.36544,14.915563,1771,53498,353,0.2522766,81.94311
1996312121385707520,198.52075,15.515065,1773,53112,333,0.1649692,929.8559
1999605995860420608,206.88786,13.667078,1776,53858,28,0.2828774,125.221
2001946306779572224,207.89858,13.956091,1778,53883,350,0.2591701,173.6967
1923147050820593664,215.67067,13.130609,1708,53503,400,0.1972754,238.5981
561826560768763904,218.11796,63.175175,499,51988,9,0.2143538,649.4446
955971525201127424,195.03333,3.9323809,849,52439,300,0.1839849,300.9669
658710303382464512,217.41974,3.3571938,585,52027,214,0.2527613,391.4832
659801843483830272,219.91783,3.0912844,586,52023,89,0.2684219,410.672
1909586767422449664,196.21654,11.133506,1696,53116,220,0.1691393,208.9556
1915191803259152384,206.62306,10.874073,1701,53142,131,0.2909273,148.6421
1908510351528323072,193.43216,12.455973,1695,53473,400,0.2067854,251.4464
1915210769834731520,206.45211,11.745431,1701,53142,200,0.1263564,1036.224
997656209060292608,192.38219,52.510907,886,52381,396,0.1621236,2573.339
1877024460956002304,200.50446,51.710448,1667,53430,543,0.2508286,15.71955
1886000049855424512,221.39478,46.643204,1675,53466,428,0.2581467,525.9301
2384811097921185792,209.55501,28.536656,2118,53820,564,0.2164237,86.3111
2412926166106138624,222.1829,25.521324,2143,54184,446,0.2588363,428.948
2390407336775673856,211.75167,28.454071,2123,53793,443,0.07700984,1357.127
2934254930988394496,203.63479,17.196395,2606,54154,581,0.2645762,292.094
2935352244096231424,204.6112,17.076703,2607,54184,477,0.2086255,695.1603
3094145638363850752,221.20761,14.850831,2748,54234,628,0.2679554,125.377
3108678438337144832,217.74181,15.765454,2761,54534,250,0.1624963,622.2419
593412237239019520,201.68177,1.8692851,527,52342,229,0.1967719,598.4462
603567046420097024,218.45087,1.4937905,536,52024,308,0.2111076,81.3897
603490630361966592,220.99897,1.4989448,536,52024,30,0.295637,468.7184
1548136338027472896,198.78594,43.197877,1375,53084,87,0.1966696,973.7367
1549264162163550208,200.9205,42.904929,1376,53089,94,0.177022,116.7309
3143537080475346944,227.3075,17.952793,2792,54556,89,0.1705441,1935.623
3140198413400827904,220.06677,20.353934,2789,54555,231,0.2048016,155.7982
3127907247523391488,224.7072,19.175979,2778,54539,572,0.2681316,163.4199
2524337204927424512,196.32014,26.217787,2242,54153,253,0.1830579,589.2766
