C.D.S.  -  SIMBAD4 rel 1.8  -  2024.05.31CEST08:36:27

2009MNRAS.398.1905W2009MNRAS.398.1905W
--------------------------------------

2009MNRAS.398.1905W
10.1111/j.1365-2966.2009.15127.x

Mon. Not. R. Astron. Soc., 398, 1905-1914 (2009/October-1)
The black hole mass, Eddington ratio and M_BH_-{sigma}_[Oiii]_relation in young
radio galaxies.
WU Q.

-Files: (abstract)
-Simbad objects: 65

Number of objects : 65

# ; obj tags ;obj count;    raw id    ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag G  ;Mag I ;  Mag J  ;  Mag H  ;  Mag K  ;  Mag u  ;  Mag g  ;  Mag r  ;  Mag i  ;  Mag z  ;  spec. type   ;#bib;#not
--;----------;---------;--------------;-----------------------------------;---;---------------------------------------;---------;---------;---------;---------;---------;------;---------;---------;---------;---------;---------;---------;---------;---------;---------------;----;----
19;d         ;        1;3C 191        ;3C 191                             ;QSO;08 04 47.9671662720 +10 15 23.746977252;     ~   ;18.65    ;18.40    ;     ~   ;18.246384;     ~;     ~   ;     ~   ;     ~   ;18.6760  ;18.4147  ;18.3065  ;18.0004  ;17.8947  ;~              ; 291;   2
20;d         ;        1;B 0826+7045   ;[VV2000] J083157.8+703536          ;QSO;08 31 57.7597 +70 35 36.264            ;     ~   ;     ~   ;19.70    ;     ~   ;     ~   ;     ~;16.332   ;15.767   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;  12;   1
21;d         ;        1;B 0830+5813   ;87GB 083013.0+581348               ;Bla;08 34 11.1012882048 +58 03 21.404149128;     ~   ;     ~   ;     ~   ;     ~   ;21.796066;     ~;     ~   ;     ~   ;     ~   ;18.836   ;16.499   ;15.388   ;14.880   ;14.451   ;~              ;  25;   1
22;d         ;        1;3C 213.1      ;3C 213.1                           ;AGN;09 01 05.2614565176 +29 01 46.939089828;     ~   ;18.84    ;18.08    ;18.600   ;20.550289;     ~;     ~   ;     ~   ;15.200   ;20.488   ;18.639   ;17.629   ;17.193   ;16.923   ;~              ; 125;   1
23;d         ;        1;3C 216        ;ICRF J090933.4+425346              ;Sy2;09 09 33.49714902 +42 53 46.4821036    ;     ~   ;19.98    ;19.42    ;18.220   ;18.871925;     ~;16.257   ;15.333   ;14.632   ;20.026   ;19.385   ;18.804   ;18.337   ;17.972   ;~              ; 505;   1
24;d         ;        1;B 0941-0805   ;ICRF J094336.9-081930              ;LIN;09 43 36.94453828 -08 19 30.8202783    ;     ~   ;19.401   ;     ~   ;18.100   ;20.1434  ;     ~;     ~   ;     ~   ;14.750   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ; 121;   2
25;d         ;        1;3C 241        ;3C 241                             ;rG ;10 21 54.5 +21 59 30                   ;     ~   ;23.5     ;     ~   ;     ~   ;     ~   ;     ~;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ; 168;   1
26;d         ;        1;TeX 11111+329 ;IRAS 11119+3257                    ;Sy1;11 14 38.8902542640 +32 41 33.483258276;     ~   ;19.22    ;17.96    ;     ~   ;17.039068;     ~;14.08    ;12.91    ;11.600   ;21.2492  ;19.0212  ;17.2127  ;16.1064  ;15.8441  ;~              ; 146;   0
27;d         ;        1;B 1144+3517   ;ICRF J114722.1+350107              ;Sy2;11 47 22.1297825184 +35 01 07.538786184;     ~   ;17.89    ;16.83    ;10.26    ;17.692259;     ~;12.253   ;11.196   ;11.142   ;17.101   ;15.474   ;14.589   ;14.112   ;13.838   ;~              ; 174;   1
28;d         ;        1;PKS 1151-348  ;ICRF J115421.7-350529              ;Sy1;11 54 21.7842834888 -35 05 29.079469716;     ~   ;18.81    ;17.84    ;     ~   ;18.977955;     ~;15.535   ;14.751   ;14.040   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ; 131;   1
29;d         ;        1;3C 268.3      ;3C 268.3                           ;Sy1;12 06 24.70656 +64 13 36.8760          ;22.74    ;21.847   ;20.790   ;19.910   ;     ~   ;     ~;     ~   ;     ~   ;     ~   ;22.379   ;21.250   ;20.233   ;19.399   ;18.341   ;~              ; 190;   1
30;d         ;        1;PKS 1221-423  ;LEDA 139813                        ;Sy2;12 23 43.3686897072 -42 35 32.031375288;19.45    ;17.28    ;17.75    ;15.69    ;21.510365;     ~;13.679   ;12.921   ;12.335   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;  42;   1
31;d         ;        1;3C 277.1      ;2E 2879                            ;Sy1;12 52 26.3561235816 +56 34 19.573734864;     ~   ;18.42    ;18.11    ;17.660   ;18.108606;     ~;16.478   ;16.146   ;14.983   ;17.944   ;17.906   ;17.621   ;17.904   ;17.134   ;~              ; 287;   2
32;d         ;        1;3C 287        ;7C 132816.2+252436                 ;QSO;13 30 37.6960744824 +25 09 10.983105972;     ~   ;18.31    ;17.67    ;     ~   ;17.982306;     ~;16.440   ;16.057   ;     ~   ;18.649   ;18.340   ;17.998   ;17.924   ;17.829   ;~              ; 363;   1
33;d         ;        1;3C 286        ;3C 286                             ;Sy1;13 31 08.2883506368 +30 30 32.960091564;     ~   ;17.51    ;17.25    ;     ~   ;17.255169;     ~;15.943   ;15.633   ;14.634   ;17.511   ;17.337   ;17.282   ;17.217   ;17.067   ;~              ;4358;   2
34;dx        ;        4;4C 12.50      ;ICRF J134733.3+121724              ;Sy2;13 47 33.36161873 +12 17 24.2398927    ;     ~   ;19.28    ;18.44    ;15.718   ;19.229834;     ~;13.600   ;12.753   ;12.208   ;18.171   ;16.705   ;15.774   ;15.275   ;14.603   ;~              ; 599;   3
35;d         ;        1;3C 293        ;3C 293.0                           ;BLL;13 52 17.8719816576 +31 26 46.487381604;     ~   ;16.10    ;15.10    ;     ~   ;21.668449;     ~;11.891   ;11.152   ;10.841   ;16.857   ;15.123   ;14.241   ;13.766   ;13.425   ;~              ; 473;   3
36;d         ;        1;3C 298        ;3C 298.0                           ;QSO;14 19 08.1802187928 +06 28 34.802854680;     ~   ;17.12    ;16.79    ;     ~   ;16.469666;     ~;15.129   ;14.477   ;14.187   ;17.489   ;17.145   ;16.724   ;16.467   ;16.286   ;~              ; 409;   1
37;d         ;        1;3C 303.1      ;8C 1443+773                        ;Sy2;14 43 14.8 +77 07 29                   ;     ~   ;19       ;     ~   ;18.730   ;     ~   ;     ~;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ; 148;   1
38;dx        ;        4;OQ 172        ;QSO B1445+101                      ;QSO;14 45 16.46525080 +09 58 36.0727447    ;     ~   ;18.58    ;17.78    ;     ~   ;17.8232  ;     ~;16.801   ;15.978   ;15.772   ;19.506   ;18.611   ;17.912   ;17.881   ;17.793   ;~              ; 397;   2
39;d         ;        1;3C 309.1      ;ICRF J145907.5+714019              ;Sy1;14 59 07.58390804 +71 40 19.8668093    ;     ~   ;17.24    ;16.78    ;17.2     ;16.882818;     ~;15.739   ;15.399   ;14.721   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ; 494;   1
40;d         ;        1;PKS 1524-136  ;QSO B1524-136                      ;QSO;15 26 59.44274001 -13 51 00.2643644    ;     ~   ;     ~   ;20.5     ;     ~   ;19.690098;     ~;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;  98;   1
41;d         ;        1;B 1538+5920   ;[VV2000] J153929.6+591101          ;QSO;15 39 29.5141 +59 11 00.732            ;     ~   ;     ~   ;20.90    ;     ~   ;     ~   ;     ~;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;21.5527  ;21.0855  ;20.5046  ;~              ;  14;   1
42;d         ;        1;B 1550+5815   ;7C 155054.79+581551.00             ;QSO;15 51 58.2078070152 +58 06 44.454684204;     ~   ;17.03    ;16.73    ;15.60    ;16.942770;     ~;15.868   ;15.136   ;14.826   ;17.4120  ;17.3645  ;17.0605  ;17.0155  ;17.0612  ;~              ;  70;   1
43;d         ;        1;PKS 1549-79   ;ICRF J155658.8-791404              ;Sy2;15 56 58.86979525 -79 14 04.2817241    ;     ~   ;18.80    ;18.800   ;17.84    ;19.583477;     ~;15.231   ;13.905   ;12.407   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ; 204;   1
44;d         ;        1;B 1622+6630   ;WN B1622+6630                      ;G  ;16 22 36.4 +66 23 24                   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;  10;   0
45;d         ;        1;3C 343        ;ICRF J163433.8+624535              ;Sy2;16 34 33.80623119 +62 45 35.8960467    ;     ~   ;21.06    ;20.61    ;     ~   ;     ~   ;     ~;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ; 216;   1
46;d         ;        1;B 1642+6701   ;[VV2000] J164222.0+665550          ;QSO;16 42 21.9267404592 +66 55 49.489560192;     ~   ;     ~   ;17.30    ;     ~   ;16.822819;     ~;16.27    ;15.69    ;15.09    ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;  19;   1
47;d         ;        1;3C 346        ;3C 346.0                           ;BLL;16 43 48.605 +17 15 49.43              ;     ~   ;17.2     ;     ~   ;     ~   ;     ~   ;     ~;14.490   ;13.613   ;12.742   ;18.704   ;17.272   ;16.138   ;15.647   ;15.245   ;~              ; 265;   1
48;d         ;        1;B 1647+6225   ;87GB 164730.8+622619               ;AGN;16 48 03.7 +62 20 40                   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   9;   0
49;d         ;        1;SDSS 1722+565 ;2MASS J17220601+5654518            ;Sy1;17 22 06.0278806104 +56 54 51.664893732;     ~   ;18.79    ;18.48    ;     ~   ;18.466515;     ~;16.710   ;     ~   ;15.308   ;18.7414  ;18.4687  ;18.2490  ;18.0468  ;17.9300  ;~              ;  65;   1
50;d         ;        1;B 1746+6921   ;[VV2000] J174630.1+692035          ;QSO;17 46 30.0290435640 +69 20 35.547329508;     ~   ;     ~   ;19.50    ;     ~   ;18.822714;     ~;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;  14;   1
51;d         ;        1;B 1819+6707   ;LEDA 2695698                       ;G  ;18 19 44.4292 +67 08 47.179            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;  21;   1
52;d         ;        1;3C 380        ;ICRF J182931.7+484446              ;Sy1;18 29 31.7809732968 +48 44 46.160168892;     ~   ;17.05    ;16.81    ;16.860   ;16.627625;     ~;15.547   ;15.141   ;14.301   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ; 692;   1
53;d         ;        1;B 1946+7048   ;QSO B1946+708                      ;BLL;19 45 53.51966298 +70 55 48.7285673    ;     ~   ;18.726   ;16.70    ;17.199   ;20.854916;     ~;14.370   ;14.053   ;13.369   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ; 140;   2
54;d         ;        1;B 1945+6024   ;[VV2000] J194613.0+603139          ;QSO;19 46 13.0629288384 +60 31 38.911050552;     ~   ;     ~   ;20.40    ;     ~   ;19.360395;     ~;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;  11;   1
55;d         ;        1;B 1958+6158   ;[VV2000] J195930.2+620645          ;QSO;19 59 30.1308792768 +62 06 44.723199708;     ~   ;     ~   ;19.10    ;     ~   ;19.287863;     ~;     ~   ;     ~   ;     ~   ;19.692   ;19.563   ;19.385   ;18.961   ;18.834   ;~              ;  11;   2
56;d         ;        1;PKS 2004-447  ;ICRF J200755.1-443444              ;Sy1;20 07 55.1842447944 -44 34 44.274118260;     ~   ;19.3     ;19.3     ;18       ;18.842600;     ~;16.197   ;15.293   ;14.336   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ; 174;   1
57;d         ;        1;IRAS 2018-2244;2MASX J20210438-2235183            ;Sy1;20 21 04.0639 -22 35 25.775            ;     ~   ;17.53    ;16.8     ;16.28    ;     ~   ;     ~;14.398   ;13.574   ;12.721   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;  44;   1
