C.D.S.  -  SIMBAD4 rel 1.8  -  2024.05.31CEST10:39:53

2009MNRAS.398.1905W2009MNRAS.398.1905W
--------------------------------------

2009MNRAS.398.1905W
10.1111/j.1365-2966.2009.15127.x

Mon. Not. R. Astron. Soc., 398, 1905-1914 (2009/October-1)
The black hole mass, Eddington ratio and M_BH_-{sigma}_[Oiii]_relation in young
radio galaxies.
WU Q.

-Files: (abstract)
-Simbad objects: 65

Number of objects : 65

# 	 obj tags 	obj count	    raw id    	            identifier             	typ	       coord1 (ICRS,J2000/2000)        	     rv/z      	   radvel    	  redshift  	      cz      	  Mag U  	  Mag B  	  Mag V  	  Mag R  	Mag I 	  spec. type   	#bib	#not
--	----------	---------	--------------	-----------------------------------	---	---------------------------------------	---------------	-------------	------------	--------------	---------	---------	---------	---------	------	---------------	----	----
26	d         	        1	TeX 11111+329 	IRAS 11119+3257                    	Sy1	11 14 38.8902542640 +32 41 33.483258276	z     0.18758  	51038        	0.18758     	56235.1       	     ~   	19.22    	17.96    	     ~   	     ~	~              	 146	   0
27	d         	        1	B 1144+3517   	ICRF J114722.1+350107              	Sy2	11 47 22.1297825184 +35 01 07.538786184	z     0.06289  	18262        	0.06289     	18853.9       	     ~   	17.89    	16.83    	10.26    	     ~	~              	 174	   1
28	d         	        1	PKS 1151-348  	ICRF J115421.7-350529              	Sy1	11 54 21.7842834888 -35 05 29.079469716	z     0.258000 	67626        	0.258000    	77346.45      	     ~   	18.81    	17.84    	     ~   	     ~	~              	 131	   1
29	d         	        1	3C 268.3      	3C 268.3                           	Sy1	12 06 24.70656 +64 13 36.8760          	z     0.37116  	91609        	0.37116     	111271.0      	22.74    	21.847   	20.790   	19.910   	     ~	~              	 190	   1
30	d         	        1	PKS 1221-423  	LEDA 139813                        	Sy2	12 23 43.3686897072 -42 35 32.031375288	cz  7974.0     	7868         	0.02660     	7974.0        	19.45    	17.28    	17.75    	15.69    	     ~	~              	  42	   1
31	d         	        1	3C 277.1      	2E 2879                            	Sy1	12 52 26.3561235816 +56 34 19.573734864	z     0.32007  	81172        	0.32007     	95954.6       	     ~   	18.42    	18.11    	17.660   	     ~	~              	 287	   2
32	d         	        1	3C 287        	7C 132816.2+252436                 	QSO	13 30 37.6960744824 +25 09 10.983105972	z     1.05500  	184996       	1.05500     	316281.0      	     ~   	18.31    	17.67    	     ~   	     ~	~              	 363	   1
33	d         	        1	3C 286        	3C 286                             	Sy1	13 31 08.2883506368 +30 30 32.960091564	z     0.849    	164103       	0.849       	254524        	     ~   	17.51    	17.25    	     ~   	     ~	~              	4358	   2
34	dx        	        4	4C 12.50      	ICRF J134733.3+121724              	Sy2	13 47 33.36161873 +12 17 24.2398927    	z     0.121928 	34339        	0.121928    	36553.09      	     ~   	19.28    	18.44    	15.718   	     ~	~              	 599	   3
35	d         	        1	3C 293        	3C 293.0                           	BLL	13 52 17.8719816576 +31 26 46.487381604	z     0.04519  	13242        	0.04519     	13547.6       	     ~   	16.10    	15.10    	     ~   	     ~	~              	 473	   3
36	d         	        1	3C 298        	3C 298.0                           	QSO	14 19 08.1802187928 +06 28 34.802854680	z     1.43621  	213336       	1.43621     	430564.9      	     ~   	17.12    	16.79    	     ~   	     ~	~              	 409	   1
37	d         	        1	3C 303.1      	8C 1443+773                        	Sy2	14 43 14.8 +77 07 29                   	z     0.267    	69651        	0.267       	80045         	     ~   	19       	     ~   	18.730   	     ~	~              	 148	   1
38	dx        	        4	OQ 172        	QSO B1445+101                      	QSO	14 45 16.46525080 +09 58 36.0727447    	z     3.529    	271920       	3.529       	1057968       	     ~   	18.58    	17.78    	     ~   	     ~	~              	 397	   2
39	d         	        1	3C 309.1      	ICRF J145907.5+714019              	Sy1	14 59 07.58390804 +71 40 19.8668093    	z     0.901113 	169850       	0.901113    	270146.8063   	     ~   	17.24    	16.78    	17.2     	     ~	~              	 494	   1
40	d         	        1	PKS 1524-136  	QSO B1524-136                      	QSO	15 26 59.44274001 -13 51 00.2643644    	z     1.687000 	226850       	1.687000    	505749.88     	     ~   	     ~   	20.5     	     ~   	     ~	~              	  98	   1
41	d         	        1	B 1538+5920   	[VV2000] J153929.6+591101          	QSO	15 39 29.5141 +59 11 00.732            	z     3.875000 	275582       	3.875000    	1161695.77    	     ~   	     ~   	20.90    	     ~   	     ~	~              	  14	   1
42	d         	        1	B 1550+5815   	7C 155054.79+581551.00             	QSO	15 51 58.2078070152 +58 06 44.454684204	z     1.325952 	206254       	1.325952    	397510.41     	     ~   	17.03    	16.73    	15.60    	     ~	~              	  70	   1
43	d         	        1	PKS 1549-79   	ICRF J155658.8-791404              	Sy2	15 56 58.86979525 -79 14 04.2817241    	z     0.150336 	41715        	0.150336    	45069.6559    	     ~   	18.80    	18.800   	17.84    	     ~	~              	 204	   1
44	d         	        1	B 1622+6630   	WN B1622+6630                      	G  	16 22 36.4 +66 23 24                   	z     0.201    	54303        	0.201       	60258         	     ~   	     ~   	     ~   	     ~   	     ~	~              	  10	   0
45	d         	        1	3C 343        	ICRF J163433.8+624535              	Sy2	16 34 33.80623119 +62 45 35.8960467    	z     0.987997 	178716       	0.987997    	296194.05     	     ~   	21.06    	20.61    	     ~   	     ~	~              	 216	   1
46	d         	        1	B 1642+6701   	[VV2000] J164222.0+665550          	QSO	16 42 21.9267404592 +66 55 49.489560192	z     1.895    	235878       	1.895       	568107        	     ~   	     ~   	17.30    	     ~   	     ~	~              	  19	   1
47	d         	        1	3C 346        	3C 346.0                           	BLL	16 43 48.605 +17 15 49.43              	z     0.16300  	44929        	0.16300     	48866.2       	     ~   	17.2     	     ~   	     ~   	     ~	~              	 265	   1
48	d         	        1	B 1647+6225   	87GB 164730.8+622619               	AGN	16 48 03.7 +62 20 40                   	z     2.1      	243281       	2.1         	629564        	     ~   	     ~   	     ~   	     ~   	     ~	~              	   9	   0
49	d         	        1	SDSS 1722+565 	2MASS J17220601+5654518            	Sy1	17 22 06.0278806104 +56 54 51.664893732	z     0.42564  	102069       	0.42564     	127603.7      	     ~   	18.79    	18.48    	     ~   	     ~	~              	  65	   1
50	d         	        1	B 1746+6921   	[VV2000] J174630.1+692035          	QSO	17 46 30.0290435640 +69 20 35.547329508	z     1.886    	235521       	1.886       	565409        	     ~   	     ~   	19.50    	     ~   	     ~	~              	  14	   1
51	d         	        1	B 1819+6707   	LEDA 2695698                       	G  	18 19 44.4292 +67 08 47.179            	~            ~ 	~            	~           	~             	     ~   	     ~   	     ~   	     ~   	     ~	~              	  21	   1
52	d         	        1	3C 380        	ICRF J182931.7+484446              	Sy1	18 29 31.7809732968 +48 44 46.160168892	z     0.691663 	144529       	0.691663    	207355.4288   	     ~   	17.05    	16.81    	16.860   	     ~	~              	 692	   1
53	d         	        1	B 1946+7048   	QSO B1946+708                      	BLL	19 45 53.51966298 +70 55 48.7285673    	z     0.101000 	28757        	0.101000    	30279.04      	     ~   	18.726   	16.70    	17.199   	     ~	~              	 140	   2
54	d         	        1	B 1945+6024   	[VV2000] J194613.0+603139          	QSO	19 46 13.0629288384 +60 31 38.911050552	z     2.700    	258977       	2.700       	809440        	     ~   	     ~   	20.40    	     ~   	     ~	~              	  11	   1
55	d         	        1	B 1958+6158   	[VV2000] J195930.2+620645          	QSO	19 59 30.1308792768 +62 06 44.723199708	z     1.824    	232986       	1.824       	546821        	     ~   	     ~   	19.10    	     ~   	     ~	~              	  11	   2
56	d         	        1	PKS 2004-447  	ICRF J200755.1-443444              	Sy1	20 07 55.1842447944 -44 34 44.274118260	z     0.24     	63512        	0.24        	71950         	     ~   	19.3     	19.3     	18       	     ~	~              	 174	   1
57	d         	        1	IRAS 2018-2244	2MASX J20210438-2235183            	Sy1	20 21 04.0639 -22 35 25.775            	z     0.185    	50404        	0.185       	55462         	     ~   	17.53    	16.8     	16.28    	     ~	~              	  44	   1
58	d         	        1	B 2126-158    	QSO B2126-15                       	Bla	21 29 12.17589329 -15 38 41.0419083    	z     3.291027 	268907       	3.291027    	986625.0197   	     ~   	17.61    	17.3     	17.3     	     ~	~              	 505	   1
59	d         	        1	B 2134+004    	QSO B2134+0028                     	QSO	21 36 38.58632232 +00 41 54.2128562    	z     1.94125  	237665       	1.94125     	581972.1      	     ~   	17.30    	17.08    	17.02    	     ~	~              	 562	   2
60	d         	        1	4C 14.82      	2MASX J22502534+1419519            	Sy1	22 50 25.3475290512 +14 19 52.095751140	z     0.23497  	62347        	0.23497     	70442.2       	     ~   	17.28    	16.97    	17.243   	     ~	~              	 206	   1
61	d         	        1	3C 454        	BWE 2249+1832                      	QSO	22 51 34.7277468096 +18 48 40.087264428	z     1.762773 	230339       	1.762773    	528466.05     	     ~   	18.52    	18.4     	     ~   	     ~	~              	 227	   2
62	d         	        1	3C 455        	3C 455.0                           	Sy2	22 55 03.8 +13 13 34                   	z     0.542999 	122445       	0.542999    	162787.00     	     ~   	19.535   	19.590   	19.190   	     ~	~              	 194	   2
63	d         	        1	3C 459        	ICRF J231635.1+040518              	Sy2	23 16 35.1933566880 +04 05 18.297101076	z     0.2200   	58840        	0.2200      	65954         	     ~   	17.54    	16.68    	17.220   	     ~	~              	 295	   1
64	d         	        1	2342+821      	ICRF J234403.7+822640              	Sy2	23 44 03.8302221504 +82 26 40.345410408	z     0.735000 	150278       	0.735000    	220347.46     	     ~   	21.769   	20.5     	20.220   	     ~	~              	  98	   1
65	d         	        1	B 2352+4933   	6C 235239+493337                   	BLL	23 55 09.45814429 +49 50 08.3394994    	z     0.24     	63512        	0.24        	71950         	     ~   	21.101   	     ~   	18.400   	     ~	~              	 267	   1
================================================================================

