#Table1
z,snmedian_g,oiii_5007_flux,oiii_5007_eqw,h_beta_flux,h_beta_eqw,h_gamma_flux,h_gamma_eqw,sigma_balmer,e_bv_sfd
0.05196881,37.71344,16.04282,-0.244225,23.66694,-0.3344702,32.00087,-0.4222881,500,0.02441659
0.1534853,38.64934,11341.38,-102.8908,5517.438,-27.59008,2560.953,-14.45629,500,0.05673105
0.05151316,36.87033,14.53777,-0.1646006,-0.2144192,-0.036408,11.04452,-0.1575452,500,0.01265944
0.1965366,52.8586,1147.471,-6.181537,4131.215,-18.49032,1683.841,-8.576478,500,0.02233633
0.08366632,36.12564,2427.053,-20.2813,3610.479,-28.1305,1385.311,-9.958217,470.5297,0.03013047
0.09166554,51.56757,3762.322,-34.60942,1084.483,-5.900719,929.4779,-5.006935,500,0.03551636
0.1674174,35.88123,307.9158,-6.167908,759.5152,-10.45688,464.8255,-7.261472,500,0.02117208
0.1829528,44.86892,2392.272,-11.67533,1984.522,-7.393268,1265.194,-5.250288,500,0.01161656
0.2755408,37.66719,875.6961,-15.47044,1777.994,-26.61959,783.0153,-11.06669,500,0.01909766
0.2217153,38.46569,543.2698,-13.80028,1593.179,-24.37148,746.7751,-11.83868,500,0.02738428
0.09478367,37.22327,706.7639,-8.53159,1421.419,-11.29103,726.966,-5.809944,500,0.03967275
0.1193964,36.04757,21.92627,-0.2020201,-37.9002,0.3667999,-50.9744,0.6977898,500,0.01824474
0.2817113,35.74103,776.9902,-15.97825,1639.537,-20.40405,706.6,-7.606334,500,0.02384331
0.07899001,36.3779,-1.139285,0.06005343,-49.34293,0.5871071,-41.7087,0.5331087,500,0.01489872
0.05626343,42.87082,16.30448,-0.1564828,23.05058,-0.424467,25.1062,-0.5922812,500,0.01237072
0.060387,45.90843,1438.772,-30.07759,1887.681,-21.58853,871.7148,-12.26865,500,0.03116452
0.05126621,36.23205,1165.69,-16.58011,1218.343,-11.11801,612.5424,-6.353217,500,0.01942769
0.06749608,35.0978,3032.55,-34.1516,127.6621,-1.122052,-134.0093,1.240732,500,0.005792611
0.0563294,39.48527,2978.191,-37.09431,2322.049,-20.472,977.8483,-9.02868,500,0.0146779
0.1444477,35.65812,415.7328,-9.309697,686.9014,-8.880097,364.7195,-5.170429,500,0.02831765
0.2349658,35.20954,1340.578,-23.34377,802.0439,-9.961286,492.5225,-5.751487,500,0.05002049
0.05897063,45.00253,886.6225,-11.5472,2150.045,-18.73977,1126.438,-8.708666,500,0.02191551
0.1548114,40.5854,846.9125,-5.921784,3967.237,-19.68156,1952.957,-9.415924,500,0.01640413
0.06517518,38.82062,44.79085,-0.6842538,-14.77804,0.175612,-8.931676,0.1214047,500,0.118886
0.05681,35.00145,41.88915,-0.4775007,51.77808,-0.6261827,46.78863,-0.8967955,500,0.02510186
