,z,snmedian_g,oiii_5007_flux,oiii_5007_eqw,h_beta_flux,h_beta_eqw,h_gamma_flux,h_gamma_eqw,sigma_balmer,e_bv_sfd,oiii/hb,hb/hg,oiii/hg
32,0.443349,46.0271,266.5799,-7.388051,803.4067,-11.29319,376.1957,-5.836358,500.0,0.01736788,0.33181189551941753,2.1356084080705866,0.7086202739691071
33,0.2817113,35.74103,776.9902,-15.97825,1639.537,-20.40405,706.6,-7.606334,500.0,0.02384331,0.47390830460062805,2.320318426266629,1.0996181715256155
34,0.3257094,40.19524,935.6229,-10.6942,2456.67,-18.63049,1182.185,-8.383597,500.0,0.06595281,0.38085005312068776,2.0780757664832494,0.7914352660539594
35,0.2349658,35.20954,1340.578,-23.34377,802.0439,-9.961286,492.5225,-5.751487,500.0,0.05002049,1.6714521486916114,1.6284411372069296,2.721861437802334
36,0.06749608,35.0978,3032.55,-34.1516,127.6621,-1.122052,-134.0093,1.240732,500.0,0.005792611,23.754505056708297,-0.952636123015343,-22.629399601370952
37,0.3902594,35.44325,1221.624,-33.45991,678.4233,-12.23246,250.457,-5.054879,500.0,0.05445364,1.800681079202321,2.708741620318059,4.877579784154566
38,0.08377949,40.82379,544.0389,-8.590643,767.4379,-7.840153,462.054,-5.602401,500.0,0.02384765,0.7089028310955192,1.6609268613625248,1.177435754262489
39,0.2253893,37.82354,-35.37535,0.4553722,317.9666,-2.909817,352.0272,-3.282643,500.0,0.02670388,-0.11125492425934043,0.9032444083866248,-0.1004903882427267
40,0.05520906,39.56214,8.95847,-0.2059868,11.26082,-0.1702033,9.994534,-0.2331565,500.0,0.02759658,0.7955433085690029,1.1266978530464753,0.8963369377701852
41,0.05564728,49.80186,52.12804,-0.6500512,36.36067,-0.2622188,8.354688,-0.09904563,500.0,0.03198527,1.4336380490238492,4.352127811355732,6.239376024574467
42,0.05463336,41.846,51.71179,-0.5842817,34.03604,-0.3452289,17.17528,-0.2663158,500.0,0.02438948,1.5193245160130262,1.9816876347867398,3.0108266066113623
43,0.06160719,39.0475,19.29954,-0.2522535,-16.32993,0.005972404,-17.85404,0.1754645,500.0,0.03093503,-1.1818507489009444,0.9146350069788126,-1.0809620679689302
44,0.07669801,39.10427,104.5971,-0.9446701,73.65417,-0.6838357,-26.65365,0.1796958,500.0,0.01365072,1.420111040556156,-2.7633802499845235,-3.9243068022578522
45,0.2876647,36.16796,528.7509,-7.704777,2066.256,-23.49095,917.9634,-10.76084,500.0,0.0306989,0.255898059098195,2.250913271705604,0.5760043374278321
46,0.05100999,38.73802,59.02945,-0.4592102,51.26057,-0.4272045,43.84315,-0.4577559,500.0,0.04346284,1.151556644805159,1.1691808184402808,1.3463779404536398
47,0.0863796,41.11017,1020.123,-14.31766,2033.969,-13.28217,1131.383,-8.780498,500.0,0.01130901,0.5015430421997582,1.7977722840099242,0.9016601805047451
48,0.06576235,37.67295,18.78345,-0.2498947,-3.351188,-0.003036328,23.56079,-0.5605061,500.0,0.01285831,-5.605012312051725,-0.1422358078825031,0.7972334543960536
49,0.6305861,38.13138,1087.032,-20.99117,795.5762,-8.504826,472.9537,-5.814764,500.0,0.01746736,1.3663455493012486,1.6821439392481756,2.2983898846758146
50,0.09262062,44.80828,1131.109,-10.9717,1590.3,-10.94744,601.8199,-4.481374,500.0,0.04385718,0.7112551090989121,2.6424849028754283,1.8794808878868912
51,0.3100284,35.32228,169.1277,-4.722909,563.2105,-10.75377,260.5651,-5.579996,500.0,0.02610326,0.30029216429736305,2.161496301691977,0.6490804025558297
52,0.05763333,35.64367,19.39426,-0.2672916,-7.919804,0.09850341,4.331646,0.07641326,500.0,0.03393245,-2.4488308043986944,-1.8283590117936692,4.477341869580293
53,0.06306924,38.09284,37.09024,-0.5067785,22.56555,-0.3297106,6.100748,-0.04456908,500.0,0.03690787,1.6436665625256197,3.6988169319565407,6.079621711960566
54,0.2543997,47.7855,6907.551,-43.59469,4576.92,-15.03455,2108.189,-8.156428,500.0,0.028514,1.50921383812695,2.171019770997762,3.2765330812370244
55,0.6617064,38.27109,283.5563,-3.474663,392.3947,-3.394933,479.1007,-4.420899,500.0,0.01431321,0.7226303005621636,0.8190234328607743,0.5918511494556364
56,0.05936958,38.50255,50.22141,-0.5439554,64.0114,-0.6262717,64.98826,-0.9397234,445.1938,0.01325422,0.7845697797579807,0.9849686697258858,0.7727766522753494
57,0.05811804,38.77269,30.67048,-0.430864,36.84772,-0.4379579,31.61624,-0.5503155,500.0,0.01184179,0.8323576058437265,1.165468126507137,0.9700862594666538
58,0.06168568,36.77557,61.21214,-0.5613758,44.48927,-0.3869972,33.65313,-0.4010318,500.0,0.007514635,1.3758854663158107,1.3219950120538566,1.818913723626896
59,0.06557803,40.33702,17.03092,-0.2142605,-63.04873,0.3984125,-59.55437,0.4658511,479.9056,0.02245249,-0.2701231253984021,1.05867512325292,-0.28597263307461734
60,0.4215071,42.91714,600.0048,-9.982654,1099.595,-9.974576,453.5874,-4.750424,500.0,0.04263987,0.5456598111122731,2.424218573972734,1.3227986491688262
