51075.422538 r 18.619 0.009
51075.423371 i 18.322 0.010
51075.424205 u 18.783 0.019
51075.425038 z 18.300 0.033
51075.425871 g 18.679 0.008
51818.392194 r 18.858 0.010
51818.393027 i 18.517 0.010
51818.393861 u 19.073 0.025
51818.394694 z 18.534 0.030
51818.395527 g 18.912 0.009
51819.477358 r 18.811 0.011
51819.478191 i 18.522 0.011
51819.479025 u 19.010 0.026
51819.479858 z 18.520 0.035
51819.480691 g 18.941 0.010
51875.221175 r 18.754 0.009
51875.222008 i 18.468 0.011
51875.222842 u 18.925 0.021
51875.223675 z 18.487 0.035
51875.224508 g 18.776 0.008
52171.380334 r 18.682 0.010
52171.381167 i 18.358 0.009
52171.382001 u 18.757 0.022
52171.382834 z 18.369 0.025
52171.383667 g 18.651 0.008
52171.453640 r 18.608 0.009
52171.454473 i 18.356 0.010
52171.455307 u 18.820 0.020
52171.456140 z 18.324 0.026
52171.456973 g 18.629 0.008
52173.356582 r 18.638 0.010
52173.357415 i 18.374 0.010
52173.358249 u 18.759 0.023
52173.359082 z 18.358 0.035
52173.359915 g 18.645 0.009
52224.336696 r 18.658 0.010
52224.337529 i 18.373 0.010
52224.338363 u 18.772 0.021
52224.339196 z 18.380 0.026
52224.340029 g 18.668 0.008
52225.302051 r 18.595 0.009
52225.302884 i 18.346 0.010
52225.303718 u 18.752 0.019
52225.304551 z 18.331 0.025
52225.305384 g 18.648 0.008
52234.293202 r 18.680 0.010
52234.294035 i 18.420 0.009
52234.294869 u 18.789 0.024
52234.295702 z 18.365 0.026
52234.296535 g 18.686 0.008
52261.256559 r 18.679 0.009
52261.257392 i 18.387 0.009
52261.258226 u 18.749 0.021
52261.259059 z 18.350 0.025
52261.259892 g 18.645 0.008
52283.123930 r 18.733 0.011
52283.124763 i 18.414 0.011
52283.125597 u 18.792 0.024
52283.126430 z 18.400 0.036
52283.127263 g 18.679 0.009
52287.137054 r 18.713 0.010
52287.137887 i 18.458 0.010
52287.138721 u 18.797 0.022
52287.139554 z 18.481 0.028
52287.140387 g 18.646 0.008
52288.136473 r 18.646 0.009
52288.137306 i 18.378 0.009
52288.138140 u 18.790 0.020
52288.138973 z 18.316 0.027
52288.139806 g 18.657 0.008
52551.409760 r 18.920 0.011
52551.410593 i 18.559 0.011
52551.411427 u 19.059 0.023
52551.412260 z 18.439 0.030
52551.413093 g 18.996 0.009
52552.455747 r 18.911 0.011
52552.456580 i 18.541 0.010
52552.457414 u 19.038 0.024
52552.458247 z 18.499 0.030
52552.459080 g 18.981 0.009
52557.430107 r 18.912 0.011
52557.430940 i 18.563 0.011
52557.431774 u 19.164 0.028
52557.432607 z 18.523 0.037
52557.433440 g 18.978 0.010
52558.442633 r 18.900 0.011
52558.443466 i 18.535 0.011
52558.444300 u 19.025 0.023
52558.445133 z 18.471 0.032
52558.445966 g 18.996 0.009
52578.314242 r 18.816 0.010
52578.315075 i 18.567 0.010
52578.315909 u 19.057 0.022
52578.316742 z 18.500 0.029
52578.317575 g 18.976 0.009
52585.277223 r 18.911 0.011
52585.278056 i 18.587 0.012
52585.278890 u 19.099 0.024
52585.279723 z 18.526 0.039
52585.280556 g 18.987 0.009
52585.331437 r 18.929 0.011
52585.332270 i 18.551 0.010
52585.333104 u 19.145 0.024
52585.333937 z 18.491 0.027
52585.334770 g 18.992 0.009
52908.404675 r 18.911 0.011
52908.405508 i 18.518 0.010
52908.406342 u 19.121 0.027
52908.407175 z 18.494 0.032
52908.408008 g 18.983 0.009
52910.414098 r 18.880 0.010
52910.414931 i 18.547 0.011
52910.415765 u 19.096 0.028
52910.416598 z 18.492 0.036
52910.417431 g 18.973 0.010
