51075.431537 r 19.940 0.021
51075.432370 i 19.591 0.025
51075.433204 u 20.701 0.074
51075.434037 z 19.469 0.082
51075.434870 g 20.308 0.023
51818.401201 r 19.962 0.021
51818.402034 i 19.707 0.023
51818.402868 u 20.748 0.088
51818.403701 z 19.510 0.071
51818.404534 g 20.399 0.047
51875.230177 r 19.930 0.023
51875.231010 i 19.600 0.024
51875.231844 u 20.750 0.074
51875.232677 z 19.511 0.078
51875.233510 g 20.322 0.028
52171.389311 r 20.019 0.021
52171.390144 i 19.635 0.020
52171.390978 u 20.886 0.097
52171.391811 z 19.581 0.065
52171.392644 g 20.416 0.023
52171.462599 r 19.975 0.020
52171.463432 i 19.672 0.021
52171.464266 u 20.950 0.078
52171.465099 z 19.535 0.061
52171.465932 g 20.400 0.022
52173.365543 r 20.026 0.025
52173.366376 i 19.695 0.026
52173.367210 u 20.765 0.102
52173.368043 z 19.510 0.089
52173.368876 g 20.391 0.026
52224.345699 r 19.993 0.020
52224.346532 i 19.665 0.020
52224.347366 u 20.772 0.083
52224.348199 z 19.501 0.060
52224.349032 g 20.436 0.022
52225.311050 r 19.965 0.021
52225.311883 i 19.613 0.021
52225.312717 u 20.906 0.079
52225.313550 z 19.517 0.063
52225.314383 g 20.431 0.023
52234.302201 r 19.994 0.024
52234.303034 i 19.651 0.022
52234.303868 u 20.868 0.111
52234.304701 z 19.610 0.072
52234.305534 g 20.459 0.027
52261.265556 r 19.971 0.021
52261.266389 i 19.668 0.020
52261.267223 u 20.857 0.094
52261.268056 z 19.439 0.055
52261.268889 g 20.431 0.024
52283.132930 r 20.021 0.031
52283.133763 i 19.622 0.030
52283.134597 u 20.861 0.111
52283.135430 z 19.595 0.107
52283.136263 g 20.414 0.029
52287.146053 r 20.004 0.022
52287.146886 i 19.699 0.021
52287.147720 u 20.978 0.102
52287.148553 z 19.623 0.067
52287.149386 g 20.478 0.024
52288.145472 r 20.016 0.023
52288.146305 i 19.664 0.021
52288.147139 u 21.022 0.089
52288.147972 z 19.432 0.059
52288.148805 g 20.455 0.024
52551.418758 r 19.935 0.022
52551.419591 i 19.572 0.022
52551.420425 u 20.989 0.089
52551.421258 z 19.455 0.071
52551.422091 g 20.347 0.023
52552.464746 r 19.943 0.021
52552.465579 i 19.568 0.019
52552.466413 u 20.832 0.085
52552.467246 z 19.444 0.064
52552.468079 g 20.346 0.023
52557.439104 r 19.950 0.022
52557.439937 i 19.587 0.022
52557.440771 u 20.764 0.087
52557.441604 z 19.513 0.075
52557.442437 g 20.353 0.021
52558.451632 r 19.932 0.020
52558.452465 i 19.623 0.021
52558.453299 u 20.739 0.071
52558.454132 z 19.424 0.066
52558.454965 g 20.382 0.021
52578.323240 r 19.912 0.019
52578.324073 i 19.556 0.019
52578.324907 u 20.837 0.073
52578.325740 z 19.446 0.058
52578.326573 g 20.326 0.020
52585.286221 r 19.903 0.021
52585.287054 i 19.588 0.024
52585.287888 u 20.736 0.071
52585.288721 z 19.457 0.076
52585.289554 g 20.353 0.021
52585.340434 r 19.931 0.019
52585.341267 i 19.599 0.018
52585.342101 u 20.653 0.069
52585.342934 z 19.548 0.064
52585.343767 g 20.334 0.019
52908.413672 r 20.120 0.024
52908.414505 i 19.674 0.022
52908.415339 u 21.025 0.105
52908.416172 z 19.473 0.068
52908.417005 g 20.492 0.025
52909.452855 r 20.077 0.020
52909.453688 i 19.697 0.020
52909.454522 u 20.948 0.078
52909.455355 z 19.583 0.063
52909.456188 g 20.509 0.023
52910.423096 r 20.077 0.022
52910.423929 i 19.690 0.022
52910.424763 u 21.021 0.107
52910.425596 z 19.512 0.073
52910.426429 g 20.555 0.028
52912.393111 r 20.097 0.023
52912.393944 i 19.748 0.022
