time,cont,conterr
-2.0,-1.8717948717948976,0.007
-1.1094043239734364,0.9358974358974148,0.008
-1.10810353731364,1.692307692307682,0.01
-1.04128356478512,1.3333333333332953,0.008
-0.6874017950076046,1.935897435897404,0.008
-0.6862784934508233,2.0,0.009
-0.6839095489022005,1.7948717948717725,0.009
-0.6227997911135832,1.410256410256375,0.008
-0.6216426299565998,1.7692307692307612,0.008
-0.6108649587047756,1.2179487179487216,0.009
-0.5785440601820577,0.641025641025625,0.008
-0.5523317034835074,0.192307692307676,0.009
-0.54752118292466,0.0769230769230566,0.008
-0.5463231809548912,0.961538461538426,0.008
-0.2307382264657824,-0.7820512820513013,0.007
-0.2294844035641474,-1.23076923076925,0.008
-0.223521652089953,-1.3205128205128125,0.008
-0.2223079387957995,-0.6153846153846136,0.007
-0.1984878976454578,-0.6794871794872104,0.007
-0.1901413941159564,-0.987179487179483,0.007
0.1971905848101953,-0.4871794871795114,0.008
0.1984362481798962,-0.5128205128205228,0.007
0.1995992757610514,-0.0512820512820455,0.008
0.2019607272533901,-0.2179487179487329,0.008
0.2282750882900788,-0.8205128205128409,0.008
0.2294794049967641,0.4358974358974432,0.008
0.2306675992259297,-0.7307692307692331,0.008
0.262950718408554,0.1410256410256081,0.008
0.2725294071562789,0.1666666666666647,0.008
0.6311092513030854,-0.4615384615384545,0.013
0.6335665122663556,-0.5897435897436023,0.009
0.6503107804130308,-0.6025641025641308,0.008
0.6526584181186803,-0.5128205128205228,0.008
0.659907745697192,-0.2435897435897442,0.02
0.6622416163653253,-0.4358974358974432,0.02
0.6646986711526743,-0.2051282051282046,0.008
0.6694349875591832,-0.5897435897436023,0.01
0.6813686860004258,-0.2564102564102728,0.014
0.6837674876992583,-0.2948717948718125,0.009
0.6897463460679205,-0.3205128205128238,0.008
0.7279521047198538,0.0641025641025283,0.008
1.045899134023854,0.192307692307676,0.008
1.0531071736755249,0.6282051282050967,0.008
1.057857850474654,0.5512820512820169,0.008
1.0590492344371047,0.6666666666666363,0.008
1.060237102620622,0.5384615384615339,0.011
1.0674309724725155,1.0256410256410229,0.015
1.0722753106771743,0.6538461538461533,0.009
1.0734791059505784,0.0641025641025283,0.008
1.0746295951588762,0.8076923076923124,0.008
